Character,Sentence,,,,,,,
Dumbledore,I should've known that you would be here,,,,,,,
McGonagall,Good evening,,,,,,,
McGonagall,Are the rumors true,,,,,,,
Dumbledore,I'm afraid so,,,,,,,
Dumbledore,The good and the bad.,,,,,,,
McGonagall,And the boy?,,,,,,,
Dumbledore,Hagrid is bringing him.,,,,,,,
McGonagall,Do you think it wise to trust Hagrid with something as important as this?,,,,,,,
Dumbledore,Ah, I would trust Hagrid with my life.,,,,,,
Hagrid,Professor Dumbledore,,,,,,,
Hagrid,Professor McGonagall.,,,,,,,
Dumbledore,No problems, Hagrid?,,,,,,
Hagrid,No,,,,,,,
Hagrid,Little tyke fell asleep just as we were flying over Bristol.,,,,,,,
Hagrid,Try not to wake him.,,,,,,,
Hagrid,There you go.,,,,,,,
Dumbledore,Albus, leaving him with these people?,,,,,,
McGonagall,I've watched them all day.,,,,,,,
McGonagall,They're the worst sort of Muggles,,,,,,,
McGonagall,They really are...,,,,,,,
Dumbledore,The only family he has.,,,,,,,
McGonagall,This boy will be famous.,,,,,,,
McGonagall,There won't be a child in our world who doesn't know his name.,,,,,,,
Dumbledore,Exactly.,,,,,,,
Dumbledore,He's far better off growing up away from all of that.,,,,,,,
Dumbledore,Until he's ready.,,,,,,,
Dumbledore,There, Hagrid.,,,,,,
Dumbledore,It's not really goodbye,,,,,,,
Dumbledore,Good luck...Harry Potter.,,,,,,,
Petunia,Up. Get up!,,,,,,,
Petunia,Now!,,,,,,,
Dudley,Wake up,,,,,,,
Dudley,We're going to the zoo!,,,,,,,
Petunia,Here he comes,,,,,,,
Vernon,Happy birthday,,,,,,,
Petunia,Why don't you just cook the breakfast,,,,,,,
Harry,Yes,,,,,,,
Petunia,I want everything to be perfect for my Dudley's special day!,,,,,,,
Vernon,Hurry up! Bring my coffee,,,,,,,
Harry,Yes,,,,,,,
Petunia,Aren't they wonderful,,,,,,,
Dudley,How many are there?,,,,,,,
Vernon,36. Counted them myself.,,,,,,,
Dudley,36?! But last year... last year I had 37!,,,,,,,
Vernon,But some of them are quite a bit bigger than last year's.,,,,,,,
Dudley,I don't care how big they are!,,,,,,,
Petunia,Oh, now, now. ,,,,,
Petunia,This is what we're going to do...,,,,,,,
Petunia,is that when we go out,,,,,,,
Petunia,How's that,,,,,,,
Petunia,It should be a lovely day at the zoo.,,,,,,,
Petunia,I'm really looking forward to it.,,,,,,,
Vernon,I'm warning you now,,,,,,,
Vernon,Any funny business,,,,,,,
Vernon,And you won't have any meals for a week.,,,,,,,
Vernon,Get in.,,,,,,,
Dudley,Make it move.,,,,,,,
Vernon,Move!,,,,,,,
Dudley,Move!,,,,,,,
Harry,He's asleep!,,,,,,,
Dudley,He's boring.,,,,,,,
Harry,Sorry about him.,,,,,,,
Harry,He doesn't understand what it's like,,,,,,,
Harry,...watching people press their ugly faces in on you.,,,,,,,
Harry,Can you hear me?,,,,,,,
Harry,It's just,,,,,,,
Harry,Do you...?,,,,,,,
Harry,I mean,,,,,,,
Harry,You're from Burma,,,,,,,
Harry,Was it nice there?,,,,,,,
Harry,Do you miss your family?,,,,,,,
Harry,I see. That's me as well.,,,,,,,
Harry,I never knew my parents either.,,,,,,,
Harry,Mummy, come here! ,,,,,,
Dudley,you won't believe what this snake is doing!,,,,,,,
Snake,Thanks.,,,,,,,
Harry,Anytime.,,,,,,,
Someone,Snake!,,,,,,,
Dudley,Mum! Mummy! Help me!,,,,,,,
Petunia,My darling boy!,,,,,,,
Petunia,How did you get in there?,,,,,,,
Petunia,Who did this?,,,,,,,
Petunia,How did you get in there?,,,,,,,
Petunia,ls there a snake?,,,,,,,
