Character,Sentence,,,,,
HARRY ,I can’t let you out,,,,,
HARRY ,I’m not allowed to use magic outside of school. ,,,,,
HARRY ,Besides,,,,,
VERNON,Harry Potter!,,,,,
HARRY,Now you’ve done it.,,,,,
PETUNIA,He’s in there. Vernon...,,,,,
UNCLE VERNON,I’m warning you,,,,,
HARRY,But she’s bored! ,,,,,
HARRY,If I could only let out for an hour or two,,,,,
VERNON,Huh, sir!,,,,
HARRY,But I haven’t had any messages from any of my friends... not one… all summer.,,,,,
DUDLEY,Who’d want to be friends with you?,,,,,
UNCLE VERNON,I should think you’d be a little more grateful. ,,,,,
UNCLE VERNON,We’ve raised you since you were a baby, even let you have Dudley’s second bedroom, purely out of the goodness of our hearts.,,,
AUNT PETUNIA,Not now,,,,,
UNCLE VERNON,Which should be any minute! ,,,,,
UNCLE VERNON,Ahem...Now let’s go over our schedule once again,,,,,
UNCLE VERNON,Petunia when the Masons arrive you will be...?,,,,,
AUNT PETUNIA,in the lounge,,,,,
UNCLE VERNON,Good! And- and Dudley,,,,,
DUDLEY,I’ll be waiting to open the door!,,,,,
UNCLE VERNON,Excellent! ...And you...?,,,,,
HARRY,I’ll be in my bedroom,,,,,
UNCLE VERNON,Too right,,,,,
UNCLE VERNON,With any luck,,,,,
UNCLE VERNON,And you will not mess it up!,,,,,
UNCLE VERNON,Mr. and Mrs. Mason! Do come in!,,,,,
DOBBY,Ha- ha- ha! Ha, ho, ho! Ha, ha! ,,
DOBBY,Harry Potter! Such an honor it is!,,,,,
HARRY,Who are you?,,,,,
DOBBY,Dobby sir,,,,,
HARRY,Not to be to be rude or anything,,,,,
DOBBY,Oh, sir! Dobby understands! ,,,,
DOBBY,It’s just that, sir,,,,
DOBBY, Dobby wonders where to begin?,,,,,
HARRY,Why don’t you sit down?,,,,,
DOBBY,S-sit down? S-sit- sit down? ,,,,,
DOBBY,Oh, ho. Oh, ho, ho... Oh, ho, ho.
HARRY,Dobby,,,,,
HARRY,I didn’t mean to offend you,,,,,
DOBBY,Offend Dobby? ,,,,,
DOBBY,Dobby has heard of your greatness, but never has he been asked to sit down by a wizard, like an equal.,,,
HARRY,You can’t have met many decent wizards then.,,,,,
DOBBY,No,,,,,
DOBBY,That was an awful thing to say. ,,,,,
DOBBY,Bad Dobby!,,,,,
HARRY,Stop,,,,,
DOBBY,Bad Dobby!,,,,,
HARRY,Dobby,,,,,
DOBBY,Baaad Dobby!,,,,,
HARRY,Dobby,,,,,
UNCLE VERNON,Ohh,,,,,
UNCLE VERNON,It’s just the cat.,,,,,
DOBBY,Bad Dobby. ,,,,,
DOBBY,Bad Dobby!,,,,,
HARRY,Stop! Stop,,,,,
HARRY,Please be quiet! ,,,,,
HARRY,Are you all right?,,,,,
DOBBY,Dobby had to punish himself,,,,,
DOBBY,Dobby almost spoke ill of his family,,,,,
HARRY,Your family?,,,,,
DOBBY,The wizard family Dobby serves,,,,,
DOBBY,Dobby is bound to serve one family forever. ,,,,,
DOBBY,If they ever knew Dobby was here...ooh... ,,,,,
DOBBY,But Dobby had to come. ,,,,,
DOBBY,Dobby has to protect Harry Potter- to warn him. ,,,,,
DOBBY,Harry Potter must not go back to Hogwarts School of Witchcraft and Wizardry this year! ,,,,,
DOBBY,There is a plot,,,,,
HARRY,What terrible things? ,,,,,
HARRY,Who’s plotting them?,,,,,
DOBBY,Ooo... er... can’t... say... argh...,,,,,
HARRY,Ok– I- understand. You can’t- say.,,,,,
DOBBY,Don’t make me talk,,,,,
HARRY,Dobby! Dobby,,,,,
DOBBY,Bad Dobby.,,,,,
HARRY ,Give me the lamp! Dobby stop!,,,,,
DOBBY ,Let me go!,,,,,
HARRY ,Get in there,,,,,
UNCLE VERNON ,What the devil are you doing up here?,,,,,
HARRY ,I- I was just—,,,,,
UNCLE VERNON ,You just ruined the punch line of my Japanese golfer joke!,,,,,
HARRY ,Sorry.,,,,,
UNCLE VERNON ,One more sound, boy! ,,,,
UNCLE VERNON ,And fix that door!,,,,,
HARRY ,Yes,,,,,
HARRY ,I don’t belong here. ,,,,,
HARRY ,I belong in your world,,,,,
HARRY ,It’s the only place I’ve got friends!,,,,,
DOBBY ,Friends who don’t even write to Harry Potter?,,,,,
HARRY ,Well,,,,,
HARRY ,how do you know my friends haven’t been writing to me?,,,,,
DOBBY ,Harry Potter mustn’t be angry with Dobby. ,,,,,
DOBBY ,Heh- Dobby hoped, Harry Potter might not want to go back to school, sir.,,,
HARRY ,Give me those,,,,,
DOBBY ,No! Ahh! Ooh...,,,,,
HARRY ,Dobby,,,,,
HARRY ,Dobby, no!,,,,
DOBBY ,Harry Potter must say he’s not going back to school!,,,,,
HARRY ,I can’t. Hogwarts is my home!,,,,,
DOBBY ,Then, sir, for Harry Potter’s own good. ,,,
UNCLE VERNON ,...it spread as far as the eye could see, and it was this deep. ,,,,
UNCLE VERNON ,And one plumber said “Look at all that water.” ,,,,,
UNCLE VERNON ,A-and the second plumber said, and that’s just the top of it!”,,,,
UNCLE VERNON ,I’m so sorry! It’s my nephew- he’s very disturbed. ,,,,,
UNCLE VERNON ,Meeting strangers upsets him. ,,,,,
UNCLE VERNON ,That’s why I kept him upstairs!,,,,,
UNCLE VERNON ,You’re never going back to that school. ,,,,,
UNCLE VERNON ,You’re never going to see those freaky friends of yours again. Never!,,,,,
RON,Hi,,,,,
HARRY,Ron! Fred. George. ,,,,,
HARRY,What are you all doing here?,,,,,
RON,Rescuing you,,,,,
RON,Now,,,,,
RON,You’d better stand back. Let’s go!,,,,,
AUNT PETUNIA,Oh!,,,,,
