CHARACTER,SENTENCE,,,,,,
HARRY,Lumos Maxima...,,,,,,
HARRY,Lumos Maxima...,,,,,,
HARRY,Lumos Maxima...,,,,,,
HARRY,Lumos... MAXIMA!,,,,,,
AUNT PETUNIA,Harry! Harry!,,,,,,
AUNT PETUNIA,Harry!! Open the door.,,,,,,
AUNT PETUNIA,Marge! How lovely to see…,,,,,,
HARRY,Uncle Vernon. I need you to sign this form.,,,,,,
UNCLE VERNON,What is it?,,,,,,
HARRY,Nothing. School stuff,,,,,,
UNCLE VERNON,Later perhaps. If you behave.,,,,,,
HARRY,I will if she does.,,,,,,
AUNT MARGE,You still here,,,,,,
HARRY,Yes.,,,,,,
AUNT MARGE,Don't say 'yes' in that ungrateful way.,,,,,,
AUNT MARGE,Damn good of my brother to keep you.,,,,,,
AUNT MARGE,He'd have been straight to an orphanage if he'd been dumped on my doorstep.,,,,,,
AUNT MARGE,Is that my Dudders?,,,,,,
AUNT MARGE,Is that my little neffy-pooh?,,,,,,
AUNT MARGE,Give us a kiss. Come on. Up,,,,,,
UNCLE VERNON,Take Marge's suitcase upstairs.,,,,,,
HARRY,Okay.,,,,,,
AUNT MARGE,Finish that off for Mommy.,,,,,,
AUNT MARGE,Good boy,,,,,,
UNCLE VERNON,Can I tempt you,,,,,,
AUNT MARGE,Just a small one.,,,,,,
AUNT MARGE,Excellent nosh,,,,,,
AUNT MARGE,A bit more.,,,,,,
AUNT MARGE,Usually just a fry-up for me,,,,,,
AUNT MARGE,Just a bit more. That's a boy.,,,,,,
AUNT MARGE,You wanna try a little drop of brandy?,,,,,,
AUNT MARGE,A little drop of brandy-brandy windy-wandy for Rippy-pippy-pooh?,,,,,,
AUNT MARGE,What are you smirking at?,,,,,,
AUNT MARGE,Where did you send the boy,,,,,,
UNCLE VERNON,St. Brutus'. It's a fine institution for hopeless cases.,,,,,,
AUNT MARGE,Do they use a cane at St. Brutus',,,,,,
HARRY,Oh,,,,,,
HARRY,Yeah. I've been beaten loads of times.,,,,,,
AUNT MARGE,Excellent. I won't have this namby-pamby...wishy-washy nonsense about not beating people who deserve it.,,,,,,
AUNT MARGE,You mustn't blame yourself about how this one turned out.,,,,,,
AUNT MARGE,It's all to do with blood.,,,,,,
AUNT MARGE,Bad blood will out.,,,,,,
AUNT MARGE,What is it the boy's father did,,,,,,
AUNT PETUNIA,Nothing. He didn't work.,,,,,,
AUNT PETUNIA,He was unemployed.,,,,,,
AUNT MARGE,And a drunk too,,,,,,
HARRY,That's a lie.,,,,,,
AUNT MARGE,What did you say?,,,,,,
HARRY,My dad wasn't a drunk.,,,,,,
AUNT MARGE,Don't worry. Don't fuss,,,,,,
AUNT MARGE,I have a very firm grip.,,,,,,
UNCLE VERNON,I think it's time you went to bed.,,,,,,
AUNT MARGE,Quiet, clean it up.,,,,,
AUNT MARGE,Actually,,,,,,
AUNT MARGE,It's all to do with the mother.,,,,,,
AUNT MARGE,You see it all the time with dogs.,,,,,,
AUNT MARGE,If something's wrong with the bitch,,,,,,
HARRY,Shut up! Shut up!,,,,,,
AUNT MARGE,Right.,,,,,,
AUNT MARGE,Let me tell you...,,,,,,
AUNT MARGE,Vernon! Vernon! Vernon,,,,,,
UNCLE VERNON,Stop!,,,,,,
UNCLE VERNON,I've got you,,,,,,
UNCLE VERNON,Hold on,,,,,,
UNCLE VERNON,Get off.,,,,,,
AUNT MARGE,Don't you dare!,,,,,,
UNCLE VERNON,Sorry.,,,,,,
AUNT PETUNIA,Oh,,,,,,
UNCLE VERNON,Oh,,,,,,
UNCLE VERNON,Please! Marge! Come back!,,,,,,
UNCLE VERNON,You bring her back!,,,,,,
UNCLE VERNON,You bring her back now.,,,,,,
UNCLE VERNON,You put her right!,,,,,,
HARRY,No. She deserved what she got.,,,,,,
HARRY,Keep away from me.,,,,,,
UNCLE VERNON,You can't do magic outside school.,,,,,,
HARRY,Yeah? Try me.,,,,,,
UNCLE VERNON,They won't let you back now.,,,,,,
UNCLE VERNON,You've nowhere to go.,,,,,,
