id,text,date,hashtags,rt_count,media,ext_media,place,lang,fav_count,source,Creator
1.51943E+18,Watch Dragon and the Crew-4 astronauts dock with the @space_station → https://t.co/X7abHvGtMp  https://t.co/d6l9cjPCgl,2022-04-27 21:46:13+00:00,,459,,,,en,2202,Twitter Media Studio,SpaceX
1.51942E+18,"RT @NASA: Roads? Where they're going, they don't need roads. Check in LIVE with the astronauts of #Crew4 and see inside their @SpaceX Drago…",2022-04-27 20:46:41+00:00,Crew4,403,,,,en,0,Twitter Web App,SpaceX
1.51923E+18,"During their 16 hour flight to the @space_station, Dragon and the Crew-4 astronauts will orbit the Earth ~10 times https://t.co/bMeApzAhuy",2022-04-27 08:09:38+00:00,,603,photo,photo,,en,6219,Twitter Web App,SpaceX
1.51923E+18,Crew-4 on orbit https://t.co/pNlRTTdSYE,2022-04-27 08:07:56+00:00,,6123,photo,video,,en,67300,Twitter Media Studio - LiveCut,SpaceX
1.51923E+18,Dragon will perform a series of burns on its way to the @space_station for a targeted docking at 8:15 p.m. ET tonight https://t.co/DJV1Cn1wTH,2022-04-27 08:06:44+00:00,,325,photo,photo,,en,3005,Twitter Web App,SpaceX
1.51923E+18,Dragon has separated from Falcon 9’s second stage,2022-04-27 08:06:43+00:00,,295,,,,en,5163,Twitter Web App,SpaceX
1.51923E+18,Falcon 9’s first stage booster has landed on the A Shortfall of Gravitas droneship https://t.co/vaTkyWpCD5,2022-04-27 08:03:29+00:00,,1144,photo,video,,en,8951,Twitter Media Studio - LiveCut,SpaceX
1.51923E+18,First stage entry burn complete,2022-04-27 08:02:10+00:00,,421,,,,en,9569,Twitter Web App,SpaceX
1.51922E+18,Main engine cutoff and stage separation confirmed. Second stage engine burn underway,2022-04-27 07:55:57+00:00,,275,,,,en,4716,Twitter Web App,SpaceX
1.51922E+18,Liftoff of Falcon 9 and Dragon! https://t.co/sfKAOpBtU6,2022-04-27 07:54:48+00:00,,1629,photo,video,,en,9433,Twitter Media Studio - LiveCut,SpaceX
1.51921E+18,T-35 minutes until liftoff; propellant loading of Falcon 9 has begun and Dragon’s escape system is armed,2022-04-27 07:18:27+00:00,,414,,,,en,5494,Twitter Web App,SpaceX
1.51921E+18,Crew-4 is go for launch https://t.co/5ZY2K5VFEo,2022-04-27 07:08:46+00:00,,1672,photo,video,,en,19745,Twitter Web App,SpaceX
1.51918E+18,Astronauts arrive at Launch Complex 39A ahead of flight https://t.co/fKuuZSl1fy,2022-04-27 04:55:45+00:00,,2444,photo,video,,en,29072,Twitter Media Studio - LiveCut,SpaceX
1.51916E+18,Watch Falcon 9 launch Dragon and the Crew-4 astronauts to the @space_station → https://t.co/X7abHvGtMp  https://t.co/IhWE5Ta6lv,2022-04-27 04:00:22+00:00,,3198,,,,en,22383,Twitter Media Studio,SpaceX
1.51905E+18,"RT @elonmusk: Raptor 2 rocket engines at Starbase, each producing over half a million pounds (230 tons) of force https://t.co/9ixxXXceG3",2022-04-26 20:21:35+00:00,,21669,photo,photo,,en,0,Twitter Web App,SpaceX
1.51892E+18,Weather is 90% favorable for tomorrow’s Falcon 9 launch of Dragon and the Crew-4 astronauts. Webcast will go live at 12:00 a.m. ET → https://t.co/X7abHvGtMp https://t.co/oyB2bz6tuU,2022-04-26 11:59:43+00:00,,4434,photo,photo,,en,55212,Twitter Web App,SpaceX
1.51874E+18,"Up next – targeting Wednesday, April 27 for Dragon’s fourth science expedition mission to the @space_station → https://t.co/X7abHvGtMp https://t.co/N4Jtm8aXWe",2022-04-25 23:46:32+00:00,,876,photo,video,,en,8687,Twitter Web App,SpaceX
1.51873E+18,RT @Axiom_Space: #Ax1: The First All-Private Crew to the @Space_Station https://t.co/Ud4E81YePy,2022-04-25 23:26:16+00:00,Ax1,568,photo,"photo, photo, photo, photo",,en,0,Twitter Web App,SpaceX
1.51869E+18,"RT @HawaiianAir: We're proud to be the 1st major U.S. airline to select @SpaceX’s Starlink, which will provide the best internet connectivi…",2022-04-25 20:30:22+00:00,,715,,,,en,0,Twitter for iPhone,SpaceX
1.51864E+18,Splashdown of Dragon confirmed https://t.co/m0C7GjwhYh,2022-04-25 17:06:44+00:00,,1273,photo,video,,en,11481,Twitter Media Studio - LiveCut,SpaceX
1.51864E+18,Main parachutes have deployed https://t.co/JSI6AIieJC,2022-04-25 17:04:55+00:00,,841,photo,video,,en,10691,Twitter Media Studio - LiveCut,SpaceX
1.51864E+18,Deployment of drogue parachutes complete,2022-04-25 17:04:04+00:00,,247,,,,en,4495,Twitter Web App,SpaceX
1.51864E+18,Dragon and the Ax-1 crew have reentered Earth's atmosphere,2022-04-25 17:00:10+00:00,,470,,,,en,7745,Twitter Web App,SpaceX
1.51863E+18,Nosecone closed for reentry,2022-04-25 16:34:25+00:00,,304,,,,en,6406,Twitter Web App,SpaceX
1.51863E+18,Dragon’s deorbit burn is complete; splashdown in ~40 minutes.,2022-04-25 16:27:33+00:00,,381,,,,en,5414,Twitter Web App,SpaceX
1.51863E+18,RT @Axiom_Space: First look at the #Ax1 crew as deorbit burn begins. https://t.co/ejDOCCxXDd,2022-04-25 16:22:20+00:00,Ax1,291,photo,animated_gif,,en,0,Twitter Web App,SpaceX
1.51862E+18,Dragon’s trunk has been jettisoned and deorbit burn will begin soon,2022-04-25 16:14:43+00:00,,276,,,,en,4445,Twitter Web App,SpaceX
1.51862E+18,Watch live as Dragon reenters the Earth’s atmosphere and and splashes down off the coast of Florida → https://t.co/N3MHSxCS0k  https://t.co/542lAomPqA,2022-04-25 16:00:30+00:00,,1006,,,,en,6818,Twitter Media Studio,SpaceX
