char,dialog,movie,corpus_dialog
GOLLUM,murderer,THE RETURN OF THE KING,Counter({'murderer': 1})
FRODO,gandalf,THE RETURN OF THE KING,Counter({'gandalf': 1})
FRODO,oooohhh,THE RETURN OF THE KING,Counter({'oooohhh': 1})
GIMLI,aaaahh,THE RETURN OF THE KING,Counter({'aaaahh': 1})
GOLLUM,precious,THE RETURN OF THE KING,Counter({'precious': 1})
GOLLUM,wake wake wake sleepies must go yes must go,THE RETURN OF THE KING,"Counter({'wake': 3, 'must': 2, 'go': 2, 'sleepies': 1, 'yes': 1})"
SAM,havent sleep mr frodo,THE RETURN OF THE KING,"Counter({'havent': 1, 'sleep': 1, 'mr': 1, 'frodo': 1})"
SAM,ive gone much must getting late,THE RETURN OF THE KING,"Counter({'ive': 1, 'gone': 1, 'much': 1, 'must': 1, 'getting': 1, 'late': 1})"
FRODO,isnt isnt midday yet days growing darker,THE RETURN OF THE KING,"Counter({'isnt': 2, 'midday': 1, 'yet': 1, 'days': 1, 'growing': 1, 'darker': 1})"
GOLLUM,come must go time,THE RETURN OF THE KING,"Counter({'come': 1, 'must': 1, 'go': 1, 'time': 1})"
SAM,mr frodos something eat,THE RETURN OF THE KING,"Counter({'mr': 1, 'frodos': 1, 'something': 1, 'eat': 1})"
GOLLUM,time lose silly,THE RETURN OF THE KING,"Counter({'time': 1, 'lose': 1, 'silly': 1})"
SAM,oh im hungry leastways lembas bread,THE RETURN OF THE KING,"Counter({'oh': 1, 'im': 1, 'hungry': 1, 'leastways': 1, 'lembas': 1, 'bread': 1})"
FRODO,aragorn,THE RETURN OF THE KING,Counter({'aragorn': 1})
GANDALF,come days king may blessed,THE RETURN OF THE KING,"Counter({'come': 1, 'days': 1, 'king': 1, 'may': 1, 'blessed': 1})"
ARAGORN,day belong one man let us together rebuild world m,THE RETURN OF THE KING,"Counter({'day': 1, 'belong': 1, 'one': 1, 'man': 1, 'let': 1, 'us': 1, 'together': 1, 'rebuild': 1, 'world': 1, 'm': 1})"
ARAGORN,et erello endorenna utlien sinome maruvan ar hildi,THE RETURN OF THE KING,"Counter({'et': 1, 'erello': 1, 'endorenna': 1, 'utlien': 1, 'sinome': 1, 'maruvan': 1, 'ar': 1, 'hildi': 1})"
ARAGORN,hannon le,THE RETURN OF THE KING,"Counter({'hannon': 1, 'le': 1})"
ARAGORN,friends bow noone,THE RETURN OF THE KING,"Counter({'friends': 1, 'bow': 1, 'noone': 1})"
FRODO,thus fourth age middle earth began fellowship ring,THE RETURN OF THE KING,"Counter({'thus': 1, 'fourth': 1, 'age': 1, 'middle': 1, 'earth': 1, 'began': 1, 'fellowship': 1, 'ring': 1})"
PIPPIN,alright,THE RETURN OF THE KING,Counter({'alright': 1})
SAM,oh alright dont much left careful going run go ahe,THE RETURN OF THE KING,"Counter({'oh': 1, 'alright': 1, 'dont': 1, 'much': 1, 'left': 1, 'careful': 1, 'going': 1, 'run': 1, 'go': 1, 'ahe': 1})"
SAM,journey home,THE RETURN OF THE KING,"Counter({'journey': 1, 'home': 1})"
GOLLUM,come hobbitses close close mordor safe places hurr,THE RETURN OF THE KING,"Counter({'close': 2, 'come': 1, 'hobbitses': 1, 'mordor': 1, 'safe': 1, 'places': 1, 'hurr': 1})"
